臺北市YouBike每月使用量,數量（次數）
109年11月,2730442
109年12月,2072168
110年1月,2291365
110年2月,2208191
110年3月,2799636
110年4月,2717801
110年5月,1956980
110年6月,1147429
110年7月,1578183
110年8月,2070079
110年9月,2474077
110年10月,2643406
110年11月,2833737
110年12月,2816235
111年1月,2474360
111年2月,1753064
111年3月,3185486
111年4月,2885346
111年5月,2103810
111年6月,2602521
111年7月,3307709
111年8月,3522522
111年9月,3177220
111年10月,2829746
111年11月,3473784
111年12月,2813139
112年1月,2887137
112年2月,3077135
112年3月,4098606
112年4月,3663252
112年5月,3978801
